0,66842
1,66841
2,66841
3,66841
4,66841
5,66841
6,66841
7,66841
8,66844
9,66841
10,66841
11,66841
12,66841
13,66841
14,66841
15,66841
16,66847
17,66841
18,66841
19,66841
20,66841
21,66841
22,66841
23,66841
24,66851
25,66841
26,66841
27,66841
28,66841
29,66841
30,66841
31,66841
32,66856
33,66841
34,66841
35,66841
36,66841
37,66841
38,66841
39,66841
40,66859
41,66841
42,66841
43,66841
44,66841
45,66841
46,66841
47,66841
48,66860
49,66841
50,66841
51,66841
52,66841
53,66841
54,66841
55,66841
56,66859
57,66841
58,66841
59,66841
60,66841
61,66841
62,66841
63,66841
64,66856
65,66841
66,66841
67,66841
68,66841
69,66841
70,66841
71,66841
72,66851
73,66841
74,66841
75,66841
76,66841
77,66841
78,66841
79,66841
80,66847
81,66841
82,66841
83,66841
84,66841
85,66841
86,66841
87,66841
88,66844
89,66841
90,66841
91,66841
92,66841
93,66841
94,66841
95,66841
96,66841
97,66841
98,66841
99,66841
100,66841
101,66841
102,66841
103,66841
104,66841
105,66841
106,66841
107,66841
108,66841
109,66841
110,66841
111,66841
112,66841
113,66841
114,66841
115,66841
116,66841
117,66841
118,66841
119,66841
120,66841
121,66841
122,66841
123,66841
124,66841
125,66841
126,66841
127,66841
128,66841
129,66841
130,66841
131,66841
132,66841
133,66841
134,66841
135,66841
136,66841
137,66841
138,66841
139,66841
140,66841
141,66841
142,66841
143,66841
144,66841
145,66841
146,66841
147,66841
148,66841
149,66841
150,66841
151,66841
152,66841
153,66841
154,66841
155,66841
156,66841
157,66841
158,66841
159,66841
160,66841
161,66841
162,66841
163,66841
164,66841
165,66841
166,66841
167,66841
168,66841
169,66841
170,66841
171,66841
172,66841
173,66841
174,66841
175,66841
176,66841
177,66841
178,66841
179,66841
180,66841
181,66841
182,66841
183,66841
184,66841
185,66841
186,66841
187,66841
188,66841
189,66841
190,66841
191,66841
192,66841
193,66841
194,66841
195,66841
196,66841
197,66841
198,66841
199,66841
200,66841
201,66841
202,66841
203,66841
204,66841
205,66841
206,66841
207,66841
208,66841
209,66841
210,66841
211,66841
212,66841
213,66841
214,66841
215,66841
216,66841
217,66841
218,66841
219,66841
220,66841
221,66841
222,66841
223,66841
224,66841
225,66841
226,66841
227,66841
228,66841
229,66841
230,66841
231,66841
232,66841
233,66841
234,66841
235,66841
236,66841
237,66841
238,66841
239,66841
240,66841
241,66841
242,66841
243,66841
244,66841
245,66841
246,66841
247,66841
248,66841
249,66841
250,66841
251,0
252,0
253,0
254,0
